class_id,class_name,image_name,image_path
0,cat,718jai12.JPEG,data/train/718jai12.JPEG
0,cat,upajvagf.JPEG,data/train/upajvagf.JPEG
0,cat,u3di1s04.JPEG,data/train/u3di1s04.JPEG
0,cat,8p2hg2ln.JPEG,data/train/8p2hg2ln.JPEG
0,cat,98em9mks.JPEG,data/train/98em9mks.JPEG
0,cat,1c6lc6pn.JPEG,data/train/1c6lc6pn.JPEG
0,cat,auzedul9.JPEG,data/train/auzedul9.JPEG
0,cat,02huei3i.JPEG,data/train/02huei3i.JPEG
0,cat,mbrikiao.JPEG,data/train/mbrikiao.JPEG
0,cat,ngvv9nhx.JPEG,data/train/ngvv9nhx.JPEG
0,cat,usu3waa7.JPEG,data/train/usu3waa7.JPEG
0,cat,zz5kiem9.JPEG,data/train/zz5kiem9.JPEG
0,cat,msqkzfjb.JPEG,data/train/msqkzfjb.JPEG
0,cat,ipsmie7x.JPEG,data/train/ipsmie7x.JPEG
0,cat,jbj2zwm3.JPEG,data/train/jbj2zwm3.JPEG
0,cat,cm4vhltp.JPEG,data/train/cm4vhltp.JPEG
0,cat,jgrj801a.JPEG,data/train/jgrj801a.JPEG
0,cat,sw2v4l7l.JPEG,data/train/sw2v4l7l.JPEG
0,cat,xjf3xo6l.JPEG,data/train/xjf3xo6l.JPEG
0,cat,h81el6yd.JPEG,data/train/h81el6yd.JPEG
0,cat,gtaskmj1.JPEG,data/train/gtaskmj1.JPEG
0,cat,p5hrt1xm.JPEG,data/train/p5hrt1xm.JPEG
0,cat,ta1svdv8.JPEG,data/train/ta1svdv8.JPEG
0,cat,4fyfqigx.JPEG,data/train/4fyfqigx.JPEG
0,cat,kn920x09.JPEG,data/train/kn920x09.JPEG
0,cat,bn834t9j.JPEG,data/train/bn834t9j.JPEG
0,cat,r041zrto.JPEG,data/train/r041zrto.JPEG
0,cat,4s03uzob.JPEG,data/train/4s03uzob.JPEG
0,cat,ja57b4wb.JPEG,data/train/ja57b4wb.JPEG
0,cat,3an64yg6.JPEG,data/train/3an64yg6.JPEG
0,cat,o0ofw5fx.JPEG,data/train/o0ofw5fx.JPEG
0,cat,9yk6zw8h.JPEG,data/train/9yk6zw8h.JPEG
0,cat,5cw0g7c1.JPEG,data/train/5cw0g7c1.JPEG
0,cat,bnyhdnyy.JPEG,data/train/bnyhdnyy.JPEG
0,cat,89vlxqhy.JPEG,data/train/89vlxqhy.JPEG
0,cat,p362bxhw.JPEG,data/train/p362bxhw.JPEG
0,cat,idrg0iyi.JPEG,data/train/idrg0iyi.JPEG
0,cat,uv7bda2i.JPEG,data/train/uv7bda2i.JPEG
0,cat,zfre6b3k.JPEG,data/train/zfre6b3k.JPEG
0,cat,l3val0uh.JPEG,data/train/l3val0uh.JPEG
0,cat,fbbbpk8x.JPEG,data/train/fbbbpk8x.JPEG
0,cat,lhsxsc4c.JPEG,data/train/lhsxsc4c.JPEG
0,cat,2dgjrazr.JPEG,data/train/2dgjrazr.JPEG
0,cat,uk83x94s.JPEG,data/train/uk83x94s.JPEG
0,cat,6updmg4q.JPEG,data/train/6updmg4q.JPEG
0,cat,j0wpozw9.JPEG,data/train/j0wpozw9.JPEG
0,cat,8jjxj68y.JPEG,data/train/8jjxj68y.JPEG
0,cat,63dpa90p.JPEG,data/train/63dpa90p.JPEG
